perception,family,method,beta,confidence_level,action_filter,fail_rate,stuck_rate,safe_rate,mean_steps,mean_stuck_count,intervention_rate,mean_conformal_cartesian_size,elapsed_seconds
uniform,point,single_belief,0.5,,,0.64,0.0,0.36,11.64,0.0,0.29982817869415807,,0.2754850387573242
uniform,point,single_belief,0.6,,,0.72,0.0,0.28,10.95,0.0,0.3041095890410959,,0.2509419918060303
uniform,point,single_belief,0.7,,,0.65,0.0,0.35,11.85,0.0,0.29282700421940927,,0.27605295181274414
uniform,point,single_belief,0.8,,,0.65,0.0,0.35,11.85,0.0,0.29282700421940927,,0.27567172050476074
uniform,point,single_belief,0.9,,,0.64,0.03,0.33,11.88,0.03,0.29292929292929293,,0.2748589515686035
uniform,point,single_belief,0.95,,,0.47,0.15,0.38,11.39,0.15,0.31782265144863914,,0.2727036476135254
uniform,point,envelope,0.5,,,0.55,0.25,0.2,8.47,0.19,0.29043683589138136,,82.4264144897461
uniform,point,envelope,0.6,,,0.58,0.24,0.18,8.3,0.17,0.2987951807228916,,80.57091021537781
uniform,point,envelope,0.7,,,0.49,0.33,0.18,8.04,0.25,0.2860696517412935,,78.88135766983032
uniform,point,envelope,0.8,,,0.54,0.37,0.09,7.26,0.3,0.3044077134986226,,72.17510271072388
uniform,point,envelope,0.9,,,0.32,0.46,0.22,8.27,0.39,0.32889963724304716,,82.33305215835571
uniform,point,envelope,0.95,,,0.46,0.42,0.12,7.2,0.35,0.29583333333333334,,72.01466631889343
uniform,point,forward_sampling,0.5,,,0.48,0.27,0.25,10.19,0.27,0.3169774288518155,,13.684160470962524
uniform,point,forward_sampling,0.6,,,0.57,0.18,0.25,9.66,0.18,0.3002070393374741,,12.874226570129395
uniform,point,forward_sampling,0.7,,,0.5,0.21,0.29,10.17,0.21,0.2969518190757129,,13.588177680969238
uniform,point,forward_sampling,0.8,,,0.48,0.26,0.26,8.84,0.26,0.2986425339366516,,11.9535551071167
uniform,point,forward_sampling,0.9,,,0.49,0.3,0.21,9.28,0.3,0.3566810344827586,,12.592087268829346
uniform,point,forward_sampling,0.95,,,0.55,0.33,0.12,7.57,0.33,0.31704095112285335,,10.391509056091309
adversarial_opt,point,single_belief,0.5,,,0.61,0.0,0.39,12.41,0.0,0.28364222401289285,,0.1732158660888672
adversarial_opt,point,single_belief,0.6,,,0.63,0.0,0.37,12.01,0.0,0.29059117402164863,,0.16962599754333496
adversarial_opt,point,single_belief,0.7,,,0.62,0.0,0.38,12.36,0.0,0.30097087378640774,,0.17315673828125
adversarial_opt,point,single_belief,0.8,,,0.64,0.01,0.35,12.03,0.01,0.3025768911055694,,0.16730284690856934
adversarial_opt,point,single_belief,0.9,,,0.56,0.03,0.41,12.55,0.03,0.3139442231075697,,0.17502403259277344
adversarial_opt,point,single_belief,0.95,,,0.57,0.13,0.3,10.0,0.13,0.306,,0.13985204696655273
adversarial_opt,point,envelope,0.5,,,0.54,0.31,0.15,8.28,0.24,0.28140096618357485,,81.42237162590027
adversarial_opt,point,envelope,0.6,,,0.5,0.27,0.23,9.65,0.2,0.2849740932642487,,94.09577989578247
adversarial_opt,point,envelope,0.7,,,0.52,0.3,0.18,8.31,0.25,0.28399518652226236,,81.70627021789551
adversarial_opt,point,envelope,0.8,,,0.4,0.37,0.23,9.74,0.32,0.2926078028747433,,95.61067867279053
adversarial_opt,point,envelope,0.9,,,0.39,0.41,0.2,8.2,0.35,0.28780487804878047,,81.37127232551575
adversarial_opt,point,envelope,0.95,,,0.41,0.4,0.19,8.14,0.33,0.28869778869778867,,80.59040093421936
adversarial_opt,point,forward_sampling,0.5,,,0.54,0.17,0.29,11.48,0.17,0.29094076655052264,,15.304167032241821
adversarial_opt,point,forward_sampling,0.6,,,0.52,0.2,0.28,11.59,0.2,0.29680759275237273,,15.53857970237732
adversarial_opt,point,forward_sampling,0.7,,,0.52,0.23,0.25,10.86,0.23,0.30478821362799263,,14.581505298614502
adversarial_opt,point,forward_sampling,0.8,,,0.5,0.26,0.24,10.02,0.26,0.29840319361277445,,13.49888014793396
adversarial_opt,point,forward_sampling,0.9,,,0.57,0.25,0.18,8.85,0.25,0.28926553672316385,,11.95354676246643
adversarial_opt,point,forward_sampling,0.95,,,0.47,0.29,0.24,10.22,0.29,0.30724070450097846,,13.811325311660767
uniform,conformal,conformal_prediction,,0.95,0.6,0.75,0.0,0.25,11.58,0.0,0.3082901554404145,1.2478411053540588,0.27959585189819336
uniform,conformal,conformal_prediction,,0.95,0.7,0.75,0.0,0.25,11.58,0.0,0.3082901554404145,1.2478411053540588,0.27928638458251953
uniform,conformal,conformal_prediction,,0.95,0.8,0.63,0.0,0.37,12.79,0.0,0.32212666145426117,1.2806880375293197,0.2928147315979004
uniform,conformal,conformal_prediction,,0.95,0.9,0.13,0.85,0.02,3.34,0.85,0.39520958083832336,1.360381861575179,0.09341788291931152
uniform,conformal,conformal_prediction,,0.99,0.6,0.33,0.65,0.02,5.11,0.65,0.38747553816046965,2.9791666666666665,0.1384599208831787
uniform,conformal,conformal_prediction,,0.99,0.7,0.33,0.65,0.02,5.11,0.65,0.38747553816046965,2.9791666666666665,0.1380777359008789
uniform,conformal,conformal_prediction,,0.99,0.8,0.12,0.88,0.0,3.23,0.88,0.4520123839009288,3.1289537712895377,0.09835243225097656
uniform,conformal,conformal_prediction,,0.99,0.9,0.11,0.89,0.0,0.61,0.89,0.6557377049180327,2.7533333333333334,0.036986351013183594
uniform,conformal,conformal_prediction,,0.995,0.6,0.2,0.8,0.0,2.47,0.8,0.32793522267206476,4.685015290519877,0.0811929702758789
uniform,conformal,conformal_prediction,,0.995,0.7,0.2,0.8,0.0,2.47,0.8,0.32793522267206476,4.685015290519877,0.08125090599060059
uniform,conformal,conformal_prediction,,0.995,0.8,0.21,0.79,0.0,1.17,0.79,0.5555555555555556,4.709183673469388,0.05220222473144531
uniform,conformal,conformal_prediction,,0.995,0.9,0.07,0.93,0.0,0.2,0.93,0.65,4.292035398230088,0.029427289962768555
adversarial_opt,conformal,conformal_prediction,,0.95,0.6,0.71,0.0,0.29,11.83,0.0,0.27218934911242604,1.2781065088757397,0.17194914817810059
adversarial_opt,conformal,conformal_prediction,,0.95,0.7,0.71,0.0,0.29,11.83,0.0,0.27218934911242604,1.2781065088757397,0.17107558250427246
adversarial_opt,conformal,conformal_prediction,,0.95,0.8,0.72,0.0,0.28,11.71,0.0,0.30145175064047824,1.269000853970965,0.16923856735229492
adversarial_opt,conformal,conformal_prediction,,0.95,0.9,0.12,0.87,0.01,3.17,0.87,0.416403785488959,1.311881188118812,0.05906033515930176
adversarial_opt,conformal,conformal_prediction,,0.99,0.6,0.28,0.68,0.04,5.32,0.68,0.37969924812030076,3.1266666666666665,0.08870553970336914
adversarial_opt,conformal,conformal_prediction,,0.99,0.7,0.28,0.68,0.04,5.32,0.68,0.37969924812030076,3.1266666666666665,0.08833050727844238
adversarial_opt,conformal,conformal_prediction,,0.99,0.8,0.22,0.78,0.0,3.41,0.78,0.40175953079178883,3.01909307875895,0.0635824203491211
adversarial_opt,conformal,conformal_prediction,,0.99,0.9,0.07,0.93,0.0,0.39,0.93,0.6923076923076923,2.8257575757575757,0.02110767364501953
adversarial_opt,conformal,conformal_prediction,,0.995,0.6,0.14,0.85,0.01,2.41,0.85,0.42738589211618255,4.368098159509202,0.05068683624267578
adversarial_opt,conformal,conformal_prediction,,0.995,0.7,0.14,0.85,0.01,2.41,0.85,0.42738589211618255,4.368098159509202,0.05063986778259277
adversarial_opt,conformal,conformal_prediction,,0.995,0.8,0.15,0.85,0.0,1.15,0.85,0.5565217391304348,4.825,0.033608436584472656
adversarial_opt,conformal,conformal_prediction,,0.995,0.9,0.07,0.93,0.0,0.16,0.93,0.875,4.761467889908257,0.017348766326904297
